,model_name,features,scaling,RMSE_train,R2_train,RMSE_validate,R2_validate,RMSE_difference
0,Linear Regression,f1,standard,298497,0.28,293440,0.29,5057
1,Generalized Linear Model,f1,standard,305714,0.25,300067,0.26,5647
2,Gradient Boosting Regression,f1,standard,282210,0.36,281158,0.35,1052
3,Decision Tree Regression,f1,standard,287583,0.33,284137,0.33,3446
4,Random Forest Regression,f1,standard,286103,0.34,282643,0.34,3460
5,LassoLars Regression,f1,standard,298497,0.28,293440,0.29,5057
6,Linear Regression,f2,standard,330832,0.12,325968,0.12,4864
7,Generalized Linear Model,f2,standard,331266,0.12,326168,0.12,5098
8,Gradient Boosting Regression,f2,standard,307774,0.24,302498,0.24,5276
9,Decision Tree Regression,f2,standard,307975,0.24,302902,0.24,5073
10,Random Forest Regression,f2,standard,307934,0.24,302758,0.24,5176
11,LassoLars Regression,f2,standard,330832,0.12,325968,0.12,4864
12,Linear Regression,f3,standard,297759,0.29,292535,0.29,5224
13,Generalized Linear Model,f3,standard,305037,0.25,299340,0.26,5697
14,Gradient Boosting Regression,f3,standard,281581,0.36,280589,0.35,992
15,Decision Tree Regression,f3,standard,287583,0.33,284137,0.33,3446
16,Random Forest Regression,f3,standard,286078,0.34,282632,0.34,3446
17,LassoLars Regression,f3,standard,297759,0.29,292535,0.29,5224
18,Linear Regression,f4,standard,300360,0.27,294945,0.28,5415
19,Generalized Linear Model,f4,standard,305129,0.25,299431,0.26,5698
20,Gradient Boosting Regression,f4,standard,285209,0.34,283665,0.33,1544
21,Decision Tree Regression,f4,standard,288388,0.33,284318,0.33,4070
22,Random Forest Regression,f4,standard,287719,0.33,283655,0.33,4064
23,LassoLars Regression,f4,standard,300360,0.27,294945,0.28,5415
24,Linear Regression,f5,standard,296641,0.29,291545,0.3,5096
25,Generalized Linear Model,f5,standard,304372,0.25,298715,0.26,5657
26,Gradient Boosting Regression,f5,standard,271862,0.4,270708,0.39,1154
27,Decision Tree Regression,f5,standard,286165,0.34,283305,0.34,2860
28,Random Forest Regression,f5,standard,284177,0.35,281244,0.35,2933
29,LassoLars Regression,f5,standard,296641,0.29,291545,0.3,5096
30,Linear Regression,f6,standard,298357,0.28,293341,0.29,5016
31,Generalized Linear Model,f6,standard,305686,0.25,300038,0.26,5648
32,Gradient Boosting Regression,f6,standard,277936,0.38,276324,0.37,1612
33,Decision Tree Regression,f6,standard,286533,0.34,283273,0.34,3260
34,Random Forest Regression,f6,standard,284685,0.35,281324,0.35,3361
35,LassoLars Regression,f6,standard,298357,0.28,293341,0.29,5016
36,Linear Regression,f7,standard,295933,0.29,290617,0.3,5316
37,Generalized Linear Model,f7,standard,304357,0.25,298700,0.26,5657
38,Gradient Boosting Regression,f7,standard,269976,0.41,269407,0.4,569
39,Decision Tree Regression,f7,standard,285674,0.34,282026,0.34,3648
40,Random Forest Regression,f7,standard,282946,0.35,279782,0.35,3164
41,LassoLars Regression,f7,standard,295933,0.29,290617,0.3,5316
42,Linear Regression,f1,quantile,298566,0.28,293505,0.29,5061
43,Generalized Linear Model,f1,quantile,305944,0.25,300307,0.25,5637
44,Gradient Boosting Regression,f1,quantile,282210,0.36,281158,0.35,1052
45,Decision Tree Regression,f1,quantile,287583,0.33,284137,0.33,3446
46,Random Forest Regression,f1,quantile,286103,0.34,282643,0.34,3460
47,LassoLars Regression,f1,quantile,298566,0.28,293505,0.29,5061
48,Linear Regression,f2,quantile,330832,0.12,325968,0.12,4864
49,Generalized Linear Model,f2,quantile,328290,0.13,323157,0.14,5133
50,Gradient Boosting Regression,f2,quantile,307774,0.24,302498,0.24,5276
